DATE,DEXSFUS
2015-01-01,11.5425
2015-01-02,11.6990
2015-01-05,11.7155
2015-01-06,11.7005
2015-01-07,11.7075
2015-01-08,11.5530
2015-01-09,11.4850
2015-01-12,11.5260
2015-01-13,11.5100
2015-01-14,11.4405
2015-01-15,11.5100
2015-01-16,11.5740
2015-01-19,11.5740
2015-01-20,11.6130
2015-01-21,11.5240
2015-01-22,11.3765
2015-01-23,11.4020
2015-01-26,11.4430
2015-01-27,11.5410
2015-01-28,11.5250
2015-01-29,11.5570
2015-01-30,11.6510
2015-02-02,11.5185
2015-02-03,11.4065
2015-02-04,11.4375
2015-02-05,11.2705
2015-02-06,11.5005
2015-02-09,11.5930
2015-02-10,11.7040
2015-02-11,11.8645
2015-02-12,11.6920
2015-02-13,11.6300
2015-02-16,11.6300
2015-02-17,11.6310
2015-02-18,11.6820
2015-02-19,11.6225
2015-02-20,11.6230
2015-02-23,11.6250
2015-02-24,11.5385
2015-02-25,11.4440
2015-02-26,11.5000
2015-02-27,11.6865
2015-03-02,11.7490
2015-03-03,11.7660
2015-03-04,11.8230
2015-03-05,11.8145
2015-03-06,12.0555
2015-03-09,12.0910
2015-03-10,12.3335
2015-03-11,12.2760
2015-03-12,12.2625
2015-03-13,12.4655
2015-03-16,12.4200
2015-03-17,12.3875
2015-03-18,12.3265
2015-03-19,12.3285
2015-03-20,12.0400
2015-03-23,11.9030
2015-03-24,11.8360
2015-03-25,11.8550
2015-03-26,11.9220
2015-03-27,12.0155
2015-03-30,12.1355
2015-03-31,12.1385
2015-04-01,11.9610
2015-04-02,11.9730
2015-04-03,11.7765
2015-04-06,11.7340
2015-04-07,11.8575
2015-04-08,11.8145
2015-04-09,11.9040
2015-04-10,11.9935
2015-04-13,12.1095
2015-04-14,11.9940
2015-04-15,12.1720
2015-04-16,11.9650
2015-04-17,12.0670
2015-04-20,12.0945
2015-04-21,12.1120
2015-04-22,12.2050
2015-04-23,12.1800
2015-04-24,12.1055
2015-04-27,11.9785
2015-04-28,11.8100
2015-04-29,11.7185
2015-04-30,11.9355
2015-05-01,12.0650
2015-05-04,12.0455
2015-05-05,12.0040
2015-05-06,11.9775
2015-05-07,12.0405
2015-05-08,11.9215
2015-05-11,12.0820
2015-05-12,12.0430
2015-05-13,11.8760
2015-05-14,11.8220
2015-05-15,11.7645
2015-05-18,11.8520
2015-05-19,11.9130
2015-05-20,11.8705
2015-05-21,11.8395
2015-05-22,11.8600
2015-05-25,11.8600
2015-05-26,12.0790
2015-05-27,12.0775
2015-05-28,12.1655
2015-05-29,12.1420
2015-06-01,12.2530
2015-06-02,12.2290
2015-06-03,12.2625
2015-06-04,12.3625
2015-06-05,12.5715
2015-06-08,12.5400
2015-06-09,12.4300
2015-06-10,12.3115
2015-06-11,12.3370
2015-06-12,12.4050
2015-06-15,12.4025
2015-06-16,12.3815
2015-06-17,12.4100
2015-06-18,12.1890
2015-06-19,12.1545
2015-06-22,12.1105
2015-06-23,12.1955
2015-06-24,12.1455
2015-06-25,12.0845
2015-06-26,12.2140
2015-06-29,12.2740
2015-06-30,12.1450
2015-07-01,12.2530
2015-07-02,12.2700
2015-07-03,12.2700
2015-07-06,12.3985
2015-07-07,12.5090
2015-07-08,12.5225
2015-07-09,12.5190
2015-07-10,12.4630
2015-07-13,12.4460
2015-07-14,12.3375
2015-07-15,12.4355
2015-07-16,12.3735
2015-07-17,12.3370
2015-07-20,12.4350
2015-07-21,12.3355
2015-07-22,12.4045
2015-07-23,12.4245
2015-07-24,12.6140
2015-07-27,12.6095
2015-07-28,12.5660
2015-07-29,12.5105
2015-07-30,12.7405
2015-07-31,12.6200
2015-08-03,12.6870
2015-08-04,12.6550
2015-08-05,12.8100
2015-08-06,12.7405
2015-08-07,12.6275
2015-08-10,12.6735
2015-08-11,12.8030
2015-08-12,12.7600
2015-08-13,12.8205
2015-08-14,12.7980
2015-08-17,12.8765
2015-08-18,12.9260
2015-08-19,12.9460
2015-08-20,12.8615
2015-08-21,12.9250
2015-08-24,13.1690
2015-08-25,13.0460
2015-08-26,13.1250
2015-08-27,13.1120
2015-08-28,13.3185
2015-08-31,13.2455
2015-09-01,13.3980
2015-09-02,13.4790
2015-09-03,13.5250
2015-09-04,13.8300
2015-09-07,13.8300
2015-09-08,13.7440
2015-09-09,13.7220
2015-09-10,13.6425
2015-09-11,13.6175
2015-09-14,13.5195
2015-09-15,13.4655
2015-09-16,13.2715
2015-09-17,13.3755
2015-09-18,13.2760
2015-09-21,13.4800
2015-09-22,13.6945
2015-09-23,13.8285
2015-09-24,13.9340
2015-09-25,13.8645
2015-09-28,13.9730
2015-09-29,13.9580
2015-09-30,13.8155
2015-10-01,13.8700
2015-10-02,13.7865
2015-10-05,13.5725
2015-10-06,13.5185
2015-10-07,13.3970
2015-10-08,13.3730
2015-10-09,13.3155
2015-10-12,13.3155
2015-10-13,13.4370
2015-10-14,13.3305
2015-10-15,13.0785
2015-10-16,13.1080
2015-10-19,13.2755
2015-10-20,13.2565
2015-10-21,13.4925
2015-10-22,13.4225
2015-10-23,13.6550
2015-10-26,13.6025
2015-10-27,13.6605
2015-10-28,13.5495
2015-10-29,13.8335
2015-10-30,13.8135
2015-11-02,13.7865
2015-11-03,13.7950
2015-11-04,13.9655
2015-11-05,13.9005
2015-11-06,14.1860
2015-11-09,14.3050
2015-11-10,14.2645
2015-11-11,14.2645
2015-11-12,14.2725
2015-11-13,14.3825
2015-11-16,14.3860
2015-11-17,14.2860
2015-11-18,14.2005
2015-11-19,14.0085
2015-11-20,13.9355
2015-11-23,14.0830
2015-11-24,13.9835
2015-11-25,14.1440
2015-11-26,14.1440
2015-11-27,14.3880
2015-11-30,14.4800
2015-12-01,14.4325
2015-12-02,14.3750
2015-12-03,14.3700
2015-12-04,14.3255
2015-12-07,14.5425
2015-12-08,14.6000
2015-12-09,14.5775
2015-12-10,15.2519
2015-12-11,15.7510
2015-12-14,15.1465
2015-12-15,14.9815
2015-12-16,15.0725
2015-12-17,15.2060
2015-12-18,15.0435
2015-12-21,15.1045
2015-12-22,15.1855
2015-12-23,15.1845
2015-12-24,15.2740
2015-12-25,15.2740
2015-12-28,15.2935
2015-12-29,15.2885
2015-12-30,15.5795
2015-12-31,15.4660
2016-01-01,15.4660
2016-01-04,15.6150
2016-01-05,15.6260
2016-01-06,15.7855
2016-01-07,15.9740
2016-01-08,16.1800
2016-01-11,16.8025
2016-01-12,16.7125
2016-01-13,16.3905
2016-01-14,16.4305
2016-01-15,16.8125
2016-01-18,16.8125
2016-01-19,16.6930
2016-01-20,16.8845
2016-01-21,16.5125
2016-01-22,16.4625
2016-01-25,16.4510
2016-01-26,16.3535
2016-01-27,16.3355
2016-01-28,16.1995
2016-01-29,15.9535
2016-02-01,15.9480
2016-02-02,16.1835
2016-02-03,16.1400
2016-02-04,15.8305
2016-02-05,15.9785
2016-02-08,16.1400
2016-02-09,16.0532
2016-02-10,15.8555
2016-02-11,15.8200
2016-02-12,15.8250
2016-02-15,15.8250
2016-02-16,15.7050
2016-02-17,15.4700
2016-02-18,15.3700
2016-02-19,15.4095
2016-02-22,15.1830
2016-02-23,15.2050
2016-02-24,15.6445
2016-02-25,15.5805
2016-02-26,16.1550
2016-02-29,15.7465
2016-03-01,15.5465
2016-03-02,15.6055
2016-03-03,15.5825
2016-03-04,15.3095
2016-03-07,15.2830
2016-03-08,15.3825
2016-03-09,15.1450
2016-03-10,15.3835
2016-03-11,15.2005
2016-03-14,15.5555
2016-03-15,15.9450
2016-03-16,16.1400
2016-03-17,15.1610
2016-03-18,15.2560
2016-03-21,15.1560
2016-03-22,15.2190
2016-03-23,15.3215
2016-03-24,15.5225
2016-03-25,15.4675
2016-03-28,15.5755
2016-03-29,15.3655
2016-03-30,14.8870
2016-03-31,14.7100
2016-04-01,14.7350
2016-04-04,14.6805
2016-04-05,15.0700
2016-04-06,15.1100
2016-04-07,15.1465
2016-04-08,14.9605
2016-04-11,14.7055
2016-04-12,14.6855
2016-04-13,14.5800
